nb ant: 1, food: 44/50, nest level: 1, nb worker: 1, nb soldier: 0
nb ant: 61, food: 176/250, nest level: 2, nb worker: 56, nb soldier: 5
nb ant: 62, food: 175/250, nest level: 2, nb worker: 57, nb soldier: 5
nb ant: 62, food: 174/250, nest level: 2, nb worker: 57, nb soldier: 5
nb ant: 63, food: 172/250, nest level: 2, nb worker: 58, nb soldier: 5
nb ant: 64, food: 171/250, nest level: 2, nb worker: 58, nb soldier: 6
nb ant: 65, food: 169/250, nest level: 2, nb worker: 59, nb soldier: 6
nb ant: 66, food: 170/250, nest level: 2, nb worker: 60, nb soldier: 6
nb ant: 66, food: 167/250, nest level: 2, nb worker: 60, nb soldier: 6
nb ant: 67, food: 165/250, nest level: 2, nb worker: 60, nb soldier: 7
nb ant: 68, food: 166/250, nest level: 2, nb worker: 61, nb soldier: 7
nb ant: 69, food: 162/250, nest level: 2, nb worker: 62, nb soldier: 7
nb ant: 70, food: 159/250, nest level: 2, nb worker: 62, nb soldier: 8
nb ant: 71, food: 159/250, nest level: 2, nb worker: 63, nb soldier: 8
nb ant: 72, food: 158/250, nest level: 2, nb worker: 64, nb soldier: 8
nb ant: 73, food: 156/250, nest level: 2, nb worker: 65, nb soldier: 8
nb ant: 73, food: 158/250, nest level: 2, nb worker: 65, nb soldier: 8
nb ant: 74, food: 155/250, nest level: 2, nb worker: 66, nb soldier: 8
#131 - a spider attack the colony
the menace kill 0 soldier
the menace kill 0 worker
nb ant: 75, food: 155/250, nest level: 2, nb worker: 67, nb soldier: 8
nb ant: 75, food: 155/250, nest level: 2, nb worker: 67, nb soldier: 8
nb ant: 76, food: 154/250, nest level: 2, nb worker: 68, nb soldier: 8
nb ant: 77, food: 152/250, nest level: 2, nb worker: 69, nb soldier: 8
nb ant: 77, food: 154/250, nest level: 2, nb worker: 69, nb soldier: 8
nb ant: 78, food: 151/250, nest level: 2, nb worker: 70, nb soldier: 8
nb ant: 78, food: 152/250, nest level: 2, nb worker: 70, nb soldier: 8
nb ant: 78, food: 153/250, nest level: 2, nb worker: 70, nb soldier: 8
nb ant: 78, food: 154/250, nest level: 2, nb worker: 70, nb soldier: 8
nb ant: 79, food: 150/250, nest level: 2, nb worker: 71, nb soldier: 8
#141 - a spider attack the colony
the menace kill 2 soldier
the menace kill 0 worker
nb ant: 78, food: 149/250, nest level: 2, nb worker: 72, nb soldier: 6
nb ant: 79, food: 155/250, nest level: 2, nb worker: 72, nb soldier: 7
nb ant: 80, food: 152/250, nest level: 2, nb worker: 73, nb soldier: 7
nb ant: 81, food: 152/250, nest level: 2, nb worker: 74, nb soldier: 7
nb ant: 82, food: 151/250, nest level: 2, nb worker: 75, nb soldier: 7
nb ant: 83, food: 149/250, nest level: 2, nb worker: 76, nb soldier: 7
nb ant: 84, food: 150/250, nest level: 2, nb worker: 77, nb soldier: 7
nb ant: 84, food: 147/250, nest level: 2, nb worker: 77, nb soldier: 7
nb ant: 84, food: 148/250, nest level: 2, nb worker: 77, nb soldier: 7
nb ant: 85, food: 146/250, nest level: 2, nb worker: 77, nb soldier: 8
#151 - a spider attack the colony
the menace kill 3 soldier
the menace kill 0 worker
nb ant: 83, food: 141/250, nest level: 2, nb worker: 77, nb soldier: 6
nb ant: 84, food: 152/250, nest level: 2, nb worker: 78, nb soldier: 6
nb ant: 85, food: 148/250, nest level: 2, nb worker: 78, nb soldier: 7
nb ant: 86, food: 147/250, nest level: 2, nb worker: 79, nb soldier: 7
nb ant: 87, food: 143/250, nest level: 2, nb worker: 79, nb soldier: 8
nb ant: 87, food: 143/250, nest level: 2, nb worker: 79, nb soldier: 8
nb ant: 88, food: 142/250, nest level: 2, nb worker: 80, nb soldier: 8
nb ant: 89, food: 140/250, nest level: 2, nb worker: 81, nb soldier: 8
nb ant: 90, food: 141/250, nest level: 2, nb worker: 82, nb soldier: 8
nb ant: 91, food: 139/250, nest level: 2, nb worker: 82, nb soldier: 9
#161 - a spider attack the colony
the menace kill 0 soldier
the menace kill 0 worker
nb ant: 92, food: 136/250, nest level: 2, nb worker: 83, nb soldier: 9
nb ant: 93, food: 136/250, nest level: 2, nb worker: 84, nb soldier: 9
nb ant: 94, food: 133/250, nest level: 2, nb worker: 84, nb soldier: 10
nb ant: 95, food: 133/250, nest level: 2, nb worker: 85, nb soldier: 10
nb ant: 96, food: 132/250, nest level: 2, nb worker: 86, nb soldier: 10
nb ant: 97, food: 128/250, nest level: 2, nb worker: 86, nb soldier: 11
nb ant: 98, food: 127/250, nest level: 2, nb worker: 87, nb soldier: 11
nb ant: 98, food: 126/250, nest level: 2, nb worker: 87, nb soldier: 11
nb ant: 98, food: 125/250, nest level: 2, nb worker: 87, nb soldier: 11
nb ant: 98, food: 128/250, nest level: 2, nb worker: 87, nb soldier: 11
#171 - a spider attack the colony
the menace kill 1 soldier
the menace kill 0 worker
nb ant: 98, food: 124/250, nest level: 2, nb worker: 87, nb soldier: 11
nb ant: 99, food: 126/250, nest level: 2, nb worker: 88, nb soldier: 11
nb ant: 99, food: 124/250, nest level: 2, nb worker: 88, nb soldier: 11
nb ant: 100, food: 123/250, nest level: 2, nb worker: 88, nb soldier: 12
nb ant: 100, food: 122/250, nest level: 2, nb worker: 88, nb soldier: 12
nb ant: 101, food: 118/250, nest level: 2, nb worker: 88, nb soldier: 13
nb ant: 102, food: 117/250, nest level: 2, nb worker: 89, nb soldier: 13
nb ant: 103, food: 119/250, nest level: 2, nb worker: 90, nb soldier: 13
nb ant: 103, food: 117/250, nest level: 2, nb worker: 90, nb soldier: 13
nb ant: 103, food: 119/250, nest level: 2, nb worker: 90, nb soldier: 13
#181 - a spider attack the colony
the menace kill 0 soldier
the menace kill 0 worker
nb ant: 104, food: 114/250, nest level: 2, nb worker: 90, nb soldier: 14
nb ant: 105, food: 112/250, nest level: 2, nb worker: 91, nb soldier: 14
nb ant: 106, food: 111/250, nest level: 2, nb worker: 91, nb soldier: 15
nb ant: 107, food: 107/250, nest level: 2, nb worker: 91, nb soldier: 16
nb ant: 106, food: 108/250, nest level: 2, nb worker: 90, nb soldier: 16
nb ant: 107, food: 108/450, nest level: 3, nb worker: 91, nb soldier: 16
nb ant: 108, food: 307/450, nest level: 3, nb worker: 92, nb soldier: 16
nb ant: 108, food: 306/450, nest level: 3, nb worker: 92, nb soldier: 16
nb ant: 108, food: 305/450, nest level: 3, nb worker: 92, nb soldier: 16
nb ant: 109, food: 307/450, nest level: 3, nb worker: 93, nb soldier: 16
nb ant: 110, food: 304/450, nest level: 3, nb worker: 94, nb soldier: 16
nb ant: 111, food: 304/450, nest level: 3, nb worker: 95, nb soldier: 16
nb ant: 111, food: 304/450, nest level: 3, nb worker: 95, nb soldier: 16
nb ant: 111, food: 304/450, nest level: 3, nb worker: 95, nb soldier: 16
nb ant: 112, food: 303/450, nest level: 3, nb worker: 96, nb soldier: 16
nb ant: 113, food: 301/450, nest level: 3, nb worker: 97, nb soldier: 16
nb ant: 114, food: 302/450, nest level: 3, nb worker: 98, nb soldier: 16
nb ant: 115, food: 296/450, nest level: 3, nb worker: 98, nb soldier: 17
nb ant: 116, food: 297/450, nest level: 3, nb worker: 99, nb soldier: 17
nb ant: 116, food: 298/450, nest level: 3, nb worker: 99, nb soldier: 17
nb ant: 116, food: 295/450, nest level: 3, nb worker: 99, nb soldier: 17
nb ant: 117, food: 293/450, nest level: 3, nb worker: 99, nb soldier: 18
nb ant: 117, food: 295/450, nest level: 3, nb worker: 99, nb soldier: 18
nb ant: 118, food: 290/450, nest level: 3, nb worker: 99, nb soldier: 19
nb ant: 119, food: 288/450, nest level: 3, nb worker: 100, nb soldier: 19
nb ant: 118, food: 291/450, nest level: 3, nb worker: 99, nb soldier: 19
nb ant: 118, food: 290/450, nest level: 3, nb worker: 99, nb soldier: 19
nb ant: 119, food: 288/450, nest level: 3, nb worker: 100, nb soldier: 19
nb ant: 119, food: 290/450, nest level: 3, nb worker: 100, nb soldier: 19
nb ant: 119, food: 288/450, nest level: 3, nb worker: 100, nb soldier: 19
#211 - a spider attack the colony
the menace kill 0 soldier
the menace kill 0 worker
nb ant: 120, food: 289/450, nest level: 3, nb worker: 101, nb soldier: 19
nb ant: 121, food: 287/450, nest level: 3, nb worker: 101, nb soldier: 20
nb ant: 122, food: 282/450, nest level: 3, nb worker: 101, nb soldier: 21
nb ant: 122, food: 279/450, nest level: 3, nb worker: 100, nb soldier: 22
nb ant: 123, food: 277/450, nest level: 3, nb worker: 100, nb soldier: 23
nb ant: 124, food: 278/450, nest level: 3, nb worker: 101, nb soldier: 23
nb ant: 125, food: 272/450, nest level: 3, nb worker: 101, nb soldier: 24
nb ant: 126, food: 271/450, nest level: 3, nb worker: 101, nb soldier: 25
nb ant: 124, food: 272/450, nest level: 3, nb worker: 99, nb soldier: 25
nb ant: 124, food: 273/450, nest level: 3, nb worker: 99, nb soldier: 25
#221 - a spider attack the colony
the menace kill 0 soldier
the menace kill 0 worker
nb ant: 124, food: 274/450, nest level: 3, nb worker: 99, nb soldier: 25
nb ant: 125, food: 268/450, nest level: 3, nb worker: 99, nb soldier: 26
nb ant: 126, food: 267/450, nest level: 3, nb worker: 99, nb soldier: 27
nb ant: 127, food: 263/450, nest level: 3, nb worker: 99, nb soldier: 28
nb ant: 128, food: 262/450, nest level: 3, nb worker: 100, nb soldier: 28
nb ant: 129, food: 260/450, nest level: 3, nb worker: 101, nb soldier: 28
nb ant: 130, food: 261/450, nest level: 3, nb worker: 102, nb soldier: 28
nb ant: 130, food: 262/450, nest level: 3, nb worker: 102, nb soldier: 28
nb ant: 131, food: 258/450, nest level: 3, nb worker: 103, nb soldier: 28
nb ant: 132, food: 257/450, nest level: 3, nb worker: 104, nb soldier: 28
#231 - a spider attack the colony
the menace kill 1 soldier
the menace kill 0 worker
nb ant: 131, food: 260/450, nest level: 3, nb worker: 104, nb soldier: 27
nb ant: 131, food: 262/450, nest level: 3, nb worker: 104, nb soldier: 27
nb ant: 132, food: 259/450, nest level: 3, nb worker: 105, nb soldier: 27
nb ant: 132, food: 260/450, nest level: 3, nb worker: 105, nb soldier: 27
nb ant: 132, food: 261/450, nest level: 3, nb worker: 105, nb soldier: 27
nb ant: 133, food: 261/450, nest level: 3, nb worker: 106, nb soldier: 27
nb ant: 134, food: 258/450, nest level: 3, nb worker: 106, nb soldier: 28
nb ant: 135, food: 254/450, nest level: 3, nb worker: 107, nb soldier: 28
nb ant: 136, food: 251/450, nest level: 3, nb worker: 107, nb soldier: 29
nb ant: 137, food: 251/450, nest level: 3, nb worker: 108, nb soldier: 29
#241 - a spider attack the colony
the menace kill 1 soldier
the menace kill 0 worker
nb ant: 137, food: 250/450, nest level: 3, nb worker: 109, nb soldier: 28
nb ant: 138, food: 251/450, nest level: 3, nb worker: 110, nb soldier: 28
nb ant: 138, food: 252/450, nest level: 3, nb worker: 110, nb soldier: 28
nb ant: 139, food: 250/450, nest level: 3, nb worker: 110, nb soldier: 29
nb ant: 140, food: 247/450, nest level: 3, nb worker: 111, nb soldier: 29
nb ant: 139, food: 249/450, nest level: 3, nb worker: 110, nb soldier: 29
nb ant: 139, food: 251/450, nest level: 3, nb worker: 110, nb soldier: 29
nb ant: 138, food: 250/450, nest level: 3, nb worker: 109, nb soldier: 29
nb ant: 138, food: 249/450, nest level: 3, nb worker: 109, nb soldier: 29
nb ant: 139, food: 249/450, nest level: 3, nb worker: 109, nb soldier: 30
#251 - a spider attack the colony
the menace kill 0 soldier
the menace kill 0 worker
nb ant: 139, food: 249/450, nest level: 3, nb worker: 109, nb soldier: 30
nb ant: 140, food: 248/450, nest level: 3, nb worker: 110, nb soldier: 30
nb ant: 140, food: 247/450, nest level: 3, nb worker: 110, nb soldier: 30
nb ant: 140, food: 246/450, nest level: 3, nb worker: 110, nb soldier: 30
nb ant: 141, food: 242/450, nest level: 3, nb worker: 110, nb soldier: 31
nb ant: 141, food: 240/450, nest level: 3, nb worker: 109, nb soldier: 32
nb ant: 142, food: 239/450, nest level: 3, nb worker: 109, nb soldier: 33
nb ant: 143, food: 235/450, nest level: 3, nb worker: 109, nb soldier: 34
nb ant: 144, food: 234/450, nest level: 3, nb worker: 110, nb soldier: 34
nb ant: 145, food: 232/450, nest level: 3, nb worker: 111, nb soldier: 34
#261 - a spider attack the colony
the menace kill 1 soldier
the menace kill 0 worker
nb ant: 144, food: 234/450, nest level: 3, nb worker: 111, nb soldier: 33
nb ant: 144, food: 235/450, nest level: 3, nb worker: 111, nb soldier: 33
nb ant: 145, food: 235/450, nest level: 3, nb worker: 112, nb soldier: 33
nb ant: 145, food: 235/450, nest level: 3, nb worker: 112, nb soldier: 33
nb ant: 145, food: 235/450, nest level: 3, nb worker: 112, nb soldier: 33
nb ant: 145, food: 235/450, nest level: 3, nb worker: 112, nb soldier: 33
nb ant: 146, food: 234/450, nest level: 3, nb worker: 113, nb soldier: 33
nb ant: 147, food: 232/450, nest level: 3, nb worker: 114, nb soldier: 33
nb ant: 148, food: 233/450, nest level: 3, nb worker: 115, nb soldier: 33
nb ant: 148, food: 232/450, nest level: 3, nb worker: 114, nb soldier: 34
#271 - a spider attack the colony
the menace kill 0 soldier
the menace kill 0 worker
nb ant: 149, food: 228/450, nest level: 3, nb worker: 114, nb soldier: 35
nb ant: 148, food: 229/450, nest level: 3, nb worker: 113, nb soldier: 35
nb ant: 148, food: 230/450, nest level: 3, nb worker: 113, nb soldier: 35
nb ant: 149, food: 224/450, nest level: 3, nb worker: 113, nb soldier: 36
nb ant: 150, food: 225/450, nest level: 3, nb worker: 114, nb soldier: 36
nb ant: 151, food: 225/450, nest level: 3, nb worker: 115, nb soldier: 36
nb ant: 151, food: 223/450, nest level: 3, nb worker: 114, nb soldier: 37
nb ant: 152, food: 218/450, nest level: 3, nb worker: 114, nb soldier: 38
nb ant: 152, food: 215/450, nest level: 3, nb worker: 113, nb soldier: 39
nb ant: 153, food: 215/450, nest level: 3, nb worker: 114, nb soldier: 39
#281 - a spider attack the colony
the menace kill 0 soldier
the menace kill 0 worker
nb ant: 153, food: 215/450, nest level: 3, nb worker: 114, nb soldier: 39
nb ant: 153, food: 215/450, nest level: 3, nb worker: 114, nb soldier: 39
nb ant: 154, food: 214/450, nest level: 3, nb worker: 115, nb soldier: 39
nb ant: 155, food: 212/450, nest level: 3, nb worker: 116, nb soldier: 39
nb ant: 155, food: 214/450, nest level: 3, nb worker: 116, nb soldier: 39
nb ant: 155, food: 212/450, nest level: 3, nb worker: 116, nb soldier: 39
nb ant: 155, food: 214/450, nest level: 3, nb worker: 116, nb soldier: 39
nb ant: 156, food: 211/450, nest level: 3, nb worker: 117, nb soldier: 39
nb ant: 156, food: 210/450, nest level: 3, nb worker: 116, nb soldier: 40
nb ant: 156, food: 209/450, nest level: 3, nb worker: 116, nb soldier: 40
nb ant: 156, food: 210/450, nest level: 3, nb worker: 115, nb soldier: 41
nb ant: 157, food: 206/450, nest level: 3, nb worker: 116, nb soldier: 41
nb ant: 157, food: 206/450, nest level: 3, nb worker: 116, nb soldier: 41
nb ant: 158, food: 205/450, nest level: 3, nb worker: 117, nb soldier: 41
nb ant: 157, food: 209/450, nest level: 3, nb worker: 116, nb soldier: 41
nb ant: 157, food: 209/450, nest level: 3, nb worker: 116, nb soldier: 41
nb ant: 158, food: 208/450, nest level: 3, nb worker: 117, nb soldier: 41
nb ant: 159, food: 206/450, nest level: 3, nb worker: 118, nb soldier: 41
nb ant: 158, food: 205/450, nest level: 3, nb worker: 117, nb soldier: 41
nb ant: 159, food: 207/450, nest level: 3, nb worker: 118, nb soldier: 41
#301 - a spider attack the colony
the menace kill 1 soldier
the menace kill 0 worker
nb ant: 159, food: 204/450, nest level: 3, nb worker: 119, nb soldier: 40
nb ant: 158, food: 209/450, nest level: 3, nb worker: 118, nb soldier: 40
nb ant: 158, food: 210/450, nest level: 3, nb worker: 118, nb soldier: 40
nb ant: 158, food: 205/450, nest level: 3, nb worker: 117, nb soldier: 41
nb ant: 159, food: 207/450, nest level: 3, nb worker: 118, nb soldier: 41
nb ant: 160, food: 204/450, nest level: 3, nb worker: 119, nb soldier: 41
nb ant: 159, food: 206/450, nest level: 3, nb worker: 118, nb soldier: 41
nb ant: 160, food: 203/450, nest level: 3, nb worker: 119, nb soldier: 41
nb ant: 159, food: 203/450, nest level: 3, nb worker: 117, nb soldier: 42
nb ant: 159, food: 203/450, nest level: 3, nb worker: 117, nb soldier: 42
#311 - a spider attack the colony
the menace kill 1 soldier
the menace kill 0 worker
nb ant: 158, food: 203/450, nest level: 3, nb worker: 117, nb soldier: 41
nb ant: 158, food: 206/450, nest level: 3, nb worker: 117, nb soldier: 41
nb ant: 158, food: 205/450, nest level: 3, nb worker: 117, nb soldier: 41
nb ant: 158, food: 208/450, nest level: 3, nb worker: 117, nb soldier: 41
nb ant: 159, food: 206/450, nest level: 3, nb worker: 118, nb soldier: 41
nb ant: 160, food: 203/450, nest level: 3, nb worker: 119, nb soldier: 41
nb ant: 159, food: 205/450, nest level: 3, nb worker: 118, nb soldier: 41
nb ant: 160, food: 204/450, nest level: 3, nb worker: 118, nb soldier: 42
nb ant: 158, food: 203/450, nest level: 3, nb worker: 115, nb soldier: 43
nb ant: 158, food: 202/450, nest level: 3, nb worker: 115, nb soldier: 43
#321 - a spider attack the colony
the menace kill 2 soldier
the menace kill 0 worker
nb ant: 156, food: 199/450, nest level: 3, nb worker: 114, nb soldier: 42
nb ant: 156, food: 206/450, nest level: 3, nb worker: 114, nb soldier: 42
nb ant: 157, food: 202/450, nest level: 3, nb worker: 114, nb soldier: 43
nb ant: 155, food: 204/450, nest level: 3, nb worker: 112, nb soldier: 43
nb ant: 155, food: 204/450, nest level: 3, nb worker: 111, nb soldier: 44
nb ant: 156, food: 203/450, nest level: 3, nb worker: 112, nb soldier: 44
nb ant: 156, food: 200/450, nest level: 3, nb worker: 111, nb soldier: 45
nb ant: 157, food: 200/450, nest level: 3, nb worker: 112, nb soldier: 45
nb ant: 157, food: 200/450, nest level: 3, nb worker: 112, nb soldier: 45
nb ant: 158, food: 199/450, nest level: 3, nb worker: 113, nb soldier: 45
#331 - a spider attack the colony
the menace kill 0 soldier
the menace kill 0 worker
nb ant: 159, food: 197/450, nest level: 3, nb worker: 114, nb soldier: 45
nb ant: 159, food: 197/450, nest level: 3, nb worker: 113, nb soldier: 46
nb ant: 160, food: 196/450, nest level: 3, nb worker: 114, nb soldier: 46
nb ant: 160, food: 193/450, nest level: 3, nb worker: 113, nb soldier: 47
nb ant: 160, food: 192/450, nest level: 3, nb worker: 112, nb soldier: 48
nb ant: 161, food: 188/450, nest level: 3, nb worker: 112, nb soldier: 49
